YEAR,STATE,COUNT_TYPE,COUNT
2018,AK,Overall Homeless,"2,016"
2018,AL,Overall Homeless,"3,434"
2018,AR,Overall Homeless,"2,712"
2018,AZ,Overall Homeless,"9,865"
2018,CA,Overall Homeless,"129,972"
2018,CO,Overall Homeless,"10,857"
2018,CT,Overall Homeless,"3,976"
2018,DC,Overall Homeless,"6,904"
2018,DE,Overall Homeless,"1,082"
2018,FL,Overall Homeless,"31,030"
2018,GA,Overall Homeless,"9,499"
2018,GU,Overall Homeless,854
2018,HI,Overall Homeless,"6,530"
2018,IA,Overall Homeless,"2,749"
2018,ID,Overall Homeless,"2,012"
2018,IL,Overall Homeless,"10,643"
2018,IN,Overall Homeless,"5,258"
2018,KS,Overall Homeless,"2,216"
2018,KY,Overall Homeless,"3,688"
2018,LA,Overall Homeless,"3,059"
2018,MA,Overall Homeless,"20,068"
2018,MD,Overall Homeless,"7,144"
2018,ME,Overall Homeless,"2,516"
2018,MI,Overall Homeless,"8,351"
2018,MN,Overall Homeless,"7,243"
2018,MO,Overall Homeless,"5,883"
2018,MP,Overall Homeless,"1,044"
2018,MS,Overall Homeless,"1,352"
2018,MT,Overall Homeless,"1,405"
2018,NC,Overall Homeless,"9,268"
2018,ND,Overall Homeless,542
2018,NE,Overall Homeless,"2,421"
2018,NH,Overall Homeless,"1,450"
2018,NJ,Overall Homeless,"9,398"
2018,NM,Overall Homeless,"2,551"
2018,NV,Overall Homeless,"7,544"
2018,NY,Overall Homeless,"91,897"
2018,OH,Overall Homeless,"10,249"
2018,OK,Overall Homeless,"3,871"
2018,OR,Overall Homeless,"14,476"
2018,PA,Overall Homeless,"13,512"
2018,PR,Overall Homeless,"3,182"
2018,RI,Overall Homeless,"1,101"
2018,SC,Overall Homeless,"3,933"
2018,SD,Overall Homeless,"1,159"
2018,TN,Overall Homeless,"7,883"
2018,TX,Overall Homeless,"25,310"
2018,UT,Overall Homeless,"2,876"
2018,VA,Overall Homeless,"5,975"
2018,VI,Overall Homeless,486
2018,VT,Overall Homeless,"1,291"
2018,WA,Overall Homeless,"22,304"
2018,WI,Overall Homeless,"4,907"
2018,WV,Overall Homeless,"1,243"
2018,WY,Overall Homeless,639
